ID,LUCID_zip,Wpoor,Bpoor,Wwealthy,Bwealthy,city_B,city_W,poverty_city_Other,US_B,US_W,poverty_US_Other,statusBlack,statusWhite,welfsupp1,welfsupp2,welfsupp3,recip1,recip2,recip3,recip4,recip5,SuppRep1,SuppRep2,SuppRep3,Vote_Biden,Vote_Sanders,Vote_Trump,vote_final,black_contact1,black_contact2,black_contact3,black_quality1,black_quality2,black_quality3,black_quality4,white_contact1,white_contact2,white_contact3,white_quality1,white_quality2,white_quality3,white_quality4,ThermBlack,ThermWhite,ThermHisp,ThermAsian,ThermNatAm,IMS1,IMS2,IMS3,IMS4,IMS5,soc_iss,econ_iss,pol_aff,age,gender,gender_TEXT,receivewelf1,income,edu,LadderSelf,race_White,race_Black,race_NatAm,race_Asian,race_Multiracial,race_Multiracial_TEXT,race_Other,race_Other_TEXT,ethn_NotHispLat,ethn_HispLat,White_ident,Black_ident,State,zip,CALC_VAR_BELOW,WelfSupport,Democrat,PsWhite,recip1R,recip2R,recip3R,HardworkingWelf
57,44111,3,4,3,3,45.00,35.00,20.00,65.00,15.00,20.00,60.00,39.00,3,4,3,3,3,3,3,4,6,5,1,19.00,14.00,100.00,3,1,2,1,2,4,3,4,1,2,3,5,4,4,4,78.00,87.00,81.00,86.00,84.00,6,4,6,5,5,4,5,2,61,1,,0,7,4,3,1,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,,1,#NULL!,3,#NULL!,36,44111,#NULL!,3.33,0.00,1.00,4.00,4.00,4.00,3.80
59,60644,2,3,4,3,60.00,10.00,30.00,20.00,70.00,10.00,55.00,42.00,3,3,3,5,5,3,2,3,3,3,3,67.00,35.00,71.00,3,4,1,5,2,3,3,3,4,1,5,2,2,3,3,83.00,67.00,85.00,75.00,63.00,7,1,6,6,6,6,6,2,44,1,,0,9,3,5,#NULL!,1,#NULL!,#NULL!,#NULL!,,#NULL!,,1,#NULL!,#NULL!,5,14,60644,#NULL!,3.00,0.00,0.00,2.00,2.00,4.00,2.60
60,71269,3,3,3,3,60.00,40.00,0.00,70.00,20.00,10.00,45.00,49.00,3,4,3,1,3,3,3,4,3,3,3,0.00,3.00,3.00,3,3,3,3,1,1,1,1,3,3,3,1,1,1,1,53.00,53.00,51.00,55.00,55.00,4,4,4,4,4,3,3,4,55,2,,0,1,4,3,1,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,,1,#NULL!,3,#NULL!,19,71269,#NULL!,3.33,0.00,1.00,6.00,4.00,4.00,4.20
62,75034,1,1,5,5,50.00,20.00,30.00,20.00,30.00,50.00,100.00,94.00,6,6,6,6,5,6,5,6,6,5,6,100.00,100.00,98.00,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,71.00,100.00,64.00,73.00,86.00,7,7,6,6,7,4,4,1,38,1,,0,20,6,10,1,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,,1,#NULL!,5,#NULL!,45,75034,#NULL!,6.00,0.00,1.00,1.00,2.00,1.00,3.00
64,42701,6,5,2,2,52.00,48.00,0.00,55.00,45.00,0.00,50.00,51.00,6,5,6,2,1,3,4,4,6,6,3,22.00,100.00,0.00,2,1,2,1,5,5,5,5,2,4,4,5,5,5,5,100.00,73.00,72.00,100.00,100.00,7,1,7,7,7,4,4,2,25,2,,0,10,1,1,1,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,2,#NULL!,18,42701,#NULL!,5.67,0.00,1.00,5.00,6.00,4.00,4.60
66,45410,2,2,4,4,80.00,20.00,0.00,40.00,60.00,0.00,53.00,55.00,5,4,2,4,3,3,4,4,3,3,4,65.00,59.00,70.00,1,4,3,4,2,4,4,3,3,3,4,1,4,4,2,65.00,63.00,60.00,73.00,73.00,4,4,4,4,4,4,2,3,37,2,,0,7,1,4,1,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,,1,#NULL!,3,#NULL!,36,45410,#NULL!,3.67,1.00,1.00,3.00,4.00,4.00,3.80
67,27107,1,1,1,1,35.00,35.00,30.00,35.00,35.00,30.00,50.00,50.00,6,6,1,1,1,1,6,6,1,1,6,50.00,50.00,0.00,2,5,5,5,5,5,3,3,5,5,5,5,5,3,3,50.00,50.00,50.00,50.00,50.00,4,4,4,4,4,4,4,3,26,2,,0,6,3,5,#NULL!,1,#NULL!,#NULL!,#NULL!,,#NULL!,,1,#NULL!,#NULL!,5,34,27107,#NULL!,4.33,1.00,0.00,6.00,6.00,6.00,6.00
68,77449,3,4,4,3,40.00,20.00,40.00,40.00,20.00,40.00,60.00,39.00,5,3,4,4,4,4,3,3,2,3,3,100.00,19.00,4.00,1,3,5,5,4,4,2,3,4,2,1,3,3,2,3,81.00,40.00,40.00,40.00,40.00,7,1,7,7,7,4,4,3,49,1,,0,13,3,5,#NULL!,1,#NULL!,#NULL!,#NULL!,,#NULL!,,1,#NULL!,#NULL!,5,45,77449,#NULL!,4.00,1.00,0.00,3.00,3.00,3.00,3.00
69,64137,5,5,5,6,33.00,22.00,45.00,23.00,44.00,33.00,42.00,64.00,5,4,5,6,4,6,6,3,6,5,4,37.00,46.00,71.00,1,5,3,2,3,1,5,4,1,5,3,3,3,5,5,67.00,38.00,84.00,46.00,48.00,6,5,3,4,7,7,3,1,25,2,,0,1,1,4,#NULL!,1,#NULL!,#NULL!,#NULL!,,#NULL!,,1,#NULL!,#NULL!,1,17,64317,#NULL!,4.67,0.00,0.00,1.00,3.00,1.00,2.80
70,23605,2,3,4,4,40.00,30.00,30.00,40.00,35.00,25.00,49.00,51.00,6,5,6,4,4,2,4,4,6,1,6,8.00,83.00,0.00,2,3,1,3,5,5,5,4,3,2,2,3,3,2,3,73.00,17.00,45.00,7.00,31.00,4,3,4,5,4,3,3,3,27,2,,0,9,5,7,#NULL!,1,#NULL!,#NULL!,#NULL!,,#NULL!,,1,#NULL!,#NULL!,5,48,23605,#NULL!,5.67,1.00,0.00,3.00,3.00,5.00,3.80
